,ID,norm,flipped-norm
12097,3A1PQ49WVIFKLES93OS9ROMUFDO1HD1,It wrong to strangle people you don't like.,It's nice to strangle people you don't like.
8121,3QXNC7EIPJTRZJP89T0H025WRRO09Z1,It is bad to bully people online,It is okay to bully people online
21783,3SEPORI8WOX26N535TR92WJ2GPNAZX1,It is responsible to report criminals to law enforcement.,It's wrong to report criminals to law enforcement.
8064,354P56DE9L1NM9LR3YLHWCK9S2YS701,It's encouraged to resolve conflicts amicably.,It's rude to not resolve conflicts amicably.
13384,33CID57105RIHDPEHDLQ79UYV1GL3C1,It's wrong to scam money from people.,It's good to scam money from people.
16829,3V0Z7YWSIZYWS05PRH9RB8N8GFP2VW1,You shouldn't hit your friend's pets.,It is responsible to hit your friend's pets.
21594,3HPZF4IVNNRQUCSWTLLHUK0OAZPYCJ1,You shouldn't discourage your child when they're applying to college.,It's expected that you'll discourage your child when they're applying to college.
514,32RIADZIST2Q3M3810NAT00Z0RNS4C1,You shouldn't steal things from stores.,You should steal things from stores.
20366,3ZR9AIQJUC7Q2DJWSY4QJUUG4MN04P1,It's good to give your family nice gifts for Christmas.,It's acceptable to give your family nice gifts for Christmas.
18031,388U7OUMF8ZX3JLU3A03RN5QXDT0RL1,It's rude to have an unpleasant attitude with people.,It's ok to have an unpleasant attitude with people.
3983,3U0SRXB7CE30OFD14G212Z137NQRN91,It's rude to lock someone out of the house.,You should lock someone out of the house.
10295,3KB8R4ZV1F57YGFQLF3GC0N2NUOGB91,It's bad to open other people's mail.,It's ok to open other people's mail.
3259,3MTMREQS4WGYCS0YU6723SPK01QAW71,It's good to rescue abandoned animals.,It's okay to rescue abandoned animals.
4617,3TESA3PJ32839HF9N7RK3LITW38MMT1,Getting drunk is frowned upon.,It's normal to get drunk
486,3DHE4R9OCX9DA3FU2MA5B7KYU3GG271,You should never yell at anyone.,It is nice to yell at anyone.
13381,3TXMY6UCAFMHLA1A2B4NHYXMBFTCQT1,It is wrong to take money that is not yours.,It is okay to take money that is not yours.
